SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-JUL-2017,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-AUG-2017,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,30-SEP-2017,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-OCT-2017,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,30-NOV-2017,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-DEC-2017,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-JAN-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,28-FEB-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-MAR-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,30-APR-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-MAY-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,30-JUN-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-JUL-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-AUG-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,30-SEP-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-OCT-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,30-NOV-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-DEC-2018,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-JAN-2019,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,28-FEB-2019,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-MAR-2019,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,30-APR-2019,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-MAY-2019,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,30-JUN-2019,INE005A08CF1
ICICI0701,ICICI Limited,NB,5000,5000,1,,30-AUG-2001,24-JUL-2001,,,,,31-JUL-2019,INE005A08CF1
ICICI0801,ICICI Limited,N9,25000,5000,1,,03-OCT-2001,28-AUG-2001,28-JAN-2018,25000,,,,INE005A11952
ICICI0801,ICICI Limited,N9,25000,5000,1,,03-OCT-2001,28-AUG-2001,,,,,28-JAN-2018,INE005A11952
ICICI0801,ICICI Limited,NA,40000,5000,1,,03-OCT-2001,28-AUG-2001,28-AUG-2022,40000,,,,INE005A11960
ICICI0801,ICICI Limited,NA,40000,5000,1,,03-OCT-2001,28-AUG-2001,,,,,28-AUG-2022,INE005A11960
ICICI0899,ICICI Limited,NC,50000,5400,1,,06-OCT-1999,25-AUG-1999,25-JUL-2018,50000,,,,INE005A11572
ICICI0899,ICICI Limited,NC,50000,5400,1,,06-OCT-1999,25-AUG-1999,,,,,25-JUL-2018,INE005A11572
ICICI0901,ICICI Limited,NA,25000,5000,1,,23-OCT-2001,27-SEP-2001,27-FEB-2018,25000,,,,INE005A11AB8
ICICI0901,ICICI Limited,NA,25000,5000,1,,23-OCT-2001,27-SEP-2001,,,,,27-FEB-2018,INE005A11AB8
ICICI0901,ICICI Limited,NB,40000,5000,1,,23-OCT-2001,27-SEP-2001,27-SEP-2022,40000,,,,INE005A11AC6
ICICI0901,ICICI Limited,NB,40000,5000,1,,23-OCT-2001,27-SEP-2001,,,,,27-SEP-2022,INE005A11AC6
ICICI0999,ICICI Limited,NB,50000,5400,1,,03-NOV-1999,23-SEP-1999,23-AUG-2018,50000,,,,INE005A11614
ICICI0999,ICICI Limited,NB,50000,5400,1,,03-NOV-1999,23-SEP-1999,,,,,23-AUG-2018,INE005A11614
ICICI1000,ICICI Limited,NB,50000,5000,1,,17-NOV-2000,05-OCT-2000,05-JAN-2022,50000,,,,INE005A11085
ICICI1000,ICICI Limited,NB,50000,5000,1,,17-NOV-2000,05-OCT-2000,,,,,05-JAN-2022,INE005A11085
ICICI1098,ICICI Limited,NB,100000,4000,1,,20-OCT-1998,05-OCT-1998,05-DEC-2022,100000,,,,INE005A11309
ICICI1098,ICICI Limited,NB,100000,4000,1,,20-OCT-1998,05-OCT-1998,,,,,05-DEC-2022,INE005A11309
ICICI1100,ICICI Limited,NA,50000,5000,1,,21-DEC-2000,14-NOV-2000,14-OCT-2021,50000,,,,INE005A11200
ICICI1100,ICICI Limited,NA,50000,5000,1,,21-DEC-2000,14-NOV-2000,,,,,14-OCT-2021,INE005A11200
ICICI1101,ICICI Limited,NB,25000,5000,1,,11-DEC-2001,12-NOV-2001,12-APR-2018,5000,,,,INE005A11AH5
ICICI1101,ICICI Limited,NB,25000,5000,1,,11-DEC-2001,12-NOV-2001,,,,,12-APR-2018,INE005A11AH5
ICICI1101,ICICI Limited,NC,40000,5000,1,,11-DEC-2001,12-NOV-2001,12-NOV-2022,5000,,,,INE005A11AI3
ICICI1101,ICICI Limited,NC,40000,5000,1,,11-DEC-2001,12-NOV-2001,,,,,12-NOV-2022,INE005A11AI3
ICICI1199,ICICI Limited,NB,50000,6000,1,,11-JAN-2000,30-NOV-1999,31-OCT-2018,6000,,,,INE005A11655
ICICI1199,ICICI Limited,NB,50000,6000,1,,11-JAN-2000,30-NOV-1999,,,,,31-OCT-2018,INE005A11655
ICICI1200,ICICI Limited,NA,50000,5000,1,,23-JAN-2001,13-DEC-2000,13-MAR-2022,50000,,,,INE005A11440
ICICI1200,ICICI Limited,NA,50000,5000,1,,23-JAN-2001,13-DEC-2000,,,,,13-MAR-2022,INE005A11440
ICICI1201,ICICI Limited,NA,25000,5000,1,,18-JAN-2002,24-DEC-2001,24-MAY-2018,25000,,,,INE005A11AN3
ICICI1201,ICICI Limited,NA,25000,5000,1,,18-JAN-2002,24-DEC-2001,,,,,24-MAY-2018,INE005A11AN3
ICICI1201,ICICI Limited,NB,40000,5000,1,,18-JAN-2002,24-DEC-2001,24-DEC-2022,40000,,,,INE005A11AO1
ICICI1201,ICICI Limited,NB,40000,5000,1,,18-JAN-2002,24-DEC-2001,,,,,24-DEC-2022,INE005A11AO1
ICICI1298,ICICI Limited,NB,100000,4000,1,,07-DEC-1998,01-DEC-1998,01-MAY-2023,100000,,,,INE005A11341
ICICI1298,ICICI Limited,NB,100000,4000,1,,07-DEC-1998,01-DEC-1998,,,,,01-MAY-2023,INE005A11341
ICICI1299,ICICI Limited,NC,100000,8500,1,,09-FEB-2000,24-DEC-1999,24-SEP-2022,100000,,,,INE005A11697
ICICI1299,ICICI Limited,NC,100000,8500,1,,09-FEB-2000,24-DEC-1999,,,,,24-SEP-2022,INE005A11697
IDBI0104,Industrial Development Bank of India,N5,5000,5000,1,7,16-FEB-2004,12-JAN-2004,12-JAN-2019,5000,,,12-JAN-2004,INE008A09885
IDBI0104,Industrial Development Bank of India,N5,5000,5000,1,7,16-FEB-2004,12-JAN-2004,,,,,12-JAN-2016,INE008A09885
IDBI0104,Industrial Development Bank of India,N5,5000,5000,1,7,16-FEB-2004,12-JAN-2004,,,,,12-JAN-2017,INE008A09885
IDBI0104,Industrial Development Bank of India,N5,5000,5000,1,7,16-FEB-2004,12-JAN-2004,,,,,12-JAN-2018,INE008A09885
IDBI0104,Industrial Development Bank of India,N5,5000,5000,1,7,16-FEB-2004,12-JAN-2004,,,,,12-JAN-2019,INE008A09885
IDBI0404,Industrial Development Bank of India,N4,5000,5000,1,6.75,04-JUN-2004,20-APR-2004,20-APR-2019,5000,,,20-APR-2004,INE008A09AM3
IDBI0404,Industrial Development Bank of India,N4,5000,5000,1,6.75,04-JUN-2004,20-APR-2004,,,,,20-APR-2019,INE008A09AM3
IDFC,IDFC Limited,H2,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07260
IDFC,IDFC Limited,H3,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07278
IDFC,IDFC Limited,H4,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07286
IDFC,IDFC Limited,H5,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07377
IDFC,IDFC Limited,H6,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07385
IDFC,IDFC Limited,H7,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07427
IDFC,IDFC Limited,H8,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07435
IDFC,IDFC Limited,H9,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07773
IDFC,IDFC Limited,HA,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07781
IDFC,IDFC Limited,HB,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07AE5
IDFC,IDFC Limited,HC,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07AF2
IDFC,IDFC Limited,HD,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07AK2
IDFC,IDFC Limited,HE,5000,5000,1,,18-JUN-2012,,,,,,,INE043D07AL0
IDFCBANK,IDFC Bank Limited,N1,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2016,INE092T08CC6
IDFCBANK,IDFC Bank Limited,N1,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2017,INE092T08CC6
IDFCBANK,IDFC Bank Limited,N1,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2018,INE092T08CC6
IDFCBANK,IDFC Bank Limited,N1,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2019,INE092T08CC6
IDFCBANK,IDFC Bank Limited,N1,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2020,INE092T08CC6
IDFCBANK,IDFC Bank Limited,N2,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2016,INE092T08CD4
IDFCBANK,IDFC Bank Limited,N2,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2017,INE092T08CD4
IDFCBANK,IDFC Bank Limited,N2,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2018,INE092T08CD4
IDFCBANK,IDFC Bank Limited,N2,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2019,INE092T08CD4
IDFCBANK,IDFC Bank Limited,N2,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2020,INE092T08CD4
IDFCBANK,IDFC Bank Limited,N3,5000,5000,1,7.5,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2016,INE092T08CE2
IDFCBANK,IDFC Bank Limited,N3,5000,5000,1,7.5,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2017,INE092T08CE2
IDFCBANK,IDFC Bank Limited,N3,5000,5000,1,7.5,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2018,INE092T08CE2
IDFCBANK,IDFC Bank Limited,N3,5000,5000,1,7.5,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2019,INE092T08CE2
IDFCBANK,IDFC Bank Limited,N3,5000,5000,1,7.5,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2020,INE092T08CE2
IDFCBANK,IDFC Bank Limited,N4,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2016,INE092T08CF9
IDFCBANK,IDFC Bank Limited,N4,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2017,INE092T08CF9
IDFCBANK,IDFC Bank Limited,N4,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2018,INE092T08CF9
IDFCBANK,IDFC Bank Limited,N4,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2019,INE092T08CF9
IDFCBANK,IDFC Bank Limited,N4,5000,5000,1,,19-OCT-2015,12-NOV-2010,,,,,12-NOV-2020,INE092T08CF9
IDFCBANK,IDFC Bank Limited,N5,5000,5000,1,8,19-OCT-2015,21-FEB-2011,,,,,,INE092T08CG7
IDFCBANK,IDFC Bank Limited,N6,5000,5000,1,,19-OCT-2015,21-FEB-2011,,,,,,INE092T08CH5
IDFCBANK,IDFC Bank Limited,N7,5000,5000,1,8.25,19-OCT-2015,30-MAR-2011,,,,,,INE092T08CI3
IDFCBANK,IDFC Bank Limited,N8,5000,5000,1,,19-OCT-2015,30-MAR-2011,,,,,,INE092T08CJ1
IDFCBANK,IDFC Bank Limited,N9,5000,5000,1,9,19-OCT-2015,30-DEC-2011,,,,,,INE092T08CK9
IDFCBANK,IDFC Bank Limited,NA,5000,5000,1,,19-OCT-2015,30-DEC-2011,,,,,,INE092T08CL7
IDFCBANK,IDFC Bank Limited,NB,5000,5000,1,8.7,19-OCT-2015,21-MAR-2012,,,,,,INE092T08CM5
IDFCBANK,IDFC Bank Limited,NC,5000,5000,1,,19-OCT-2015,21-MAR-2012,,,,,,INE092T08CN3
IDFCBANK,IDFC Bank Limited,ND,5000,5000,1,8.43,19-OCT-2015,31-MAR-2012,,,,,,INE092T08CO1
IDFCBANK,IDFC Bank Limited,NE,5000,5000,1,,19-OCT-2015,31-MAR-2012,,,,,,INE092T08CP8
IFCI,IFCI Limited,NC,1000,1000,1,9.8,04-DEC-2014,01-DEC-2014,,,,,,INE039A07751
IFCI,IFCI Limited,ND,1000,1000,1,,04-DEC-2014,01-DEC-2014,,,,,,INE039A07769
IFCI,IFCI Limited,NE,1000,1000,1,9.4,04-DEC-2014,01-DEC-2014,,,,,,INE039A07777
IFCI,IFCI Limited,NF,1000,1000,1,9.9,04-DEC-2014,01-DEC-2014,,,,,,INE039A07785
IFCI,IFCI Limited,NG,1000,1000,1,,04-DEC-2014,01-DEC-2014,,,,,,INE039A07793
IFCI,IFCI Limited,NH,1000,1000,1,9.9,04-DEC-2014,01-DEC-2014,,,,,,INE039A07801
IFCI,IFCI Limited,NI,1000,1000,1,,04-DEC-2014,01-DEC-2014,,,,,,INE039A07819
IFCI,IFCI Limited,NJ,1000,1000,1,9.35,18-FEB-2015,13-FEB-2015,,,,,,INE039A07827
IFCI,IFCI Limited,NK,1000,1000,1,,18-FEB-2015,13-FEB-2015,,,,,,INE039A07835
IFCI,IFCI Limited,NL,1000,1000,1,9.4,18-FEB-2015,13-FEB-2015,,,,,,INE039A07843
IFCI,IFCI Limited,NM,1000,1000,1,,18-FEB-2015,13-FEB-2015,,,,,,INE039A07850
IIFCL,India Infrastructure Finance Company Limited,N1,1000,1000,1,7.4,22-MAR-2017,22-JAN-2013,,,,,,INE787H07156
IIFCL,India Infrastructure Finance Company Limited,N2,1000,1000,1,8.66,22-MAR-2017,22-JAN-2014,,,,,,INE787H07354
IIFCL,India Infrastructure Finance Company Limited,N3,1000,1000,1,8.66,22-MAR-2017,22-JAN-2014,,,,,,INE787H07347
IIFCL,India Infrastructure Finance Company Limited,N4,1000,1000,1,8.91,22-MAR-2017,22-JAN-2014,,,,,,INE787H07370
IIFLFIN,India Infoline Finance Limited,N5,1000,1000,1,12.75,21-SEP-2012,18-SEP-2012,,,,,,INE866I08139
IIFLFIN,India Infoline Finance Limited,N6,1000,1000,1,12.75,21-SEP-2012,18-SEP-2012,,,,,,INE866I08147
IIFLFIN,India Infoline Finance Limited,N7,1000,1000,1,,21-SEP-2012,18-SEP-2012,,,,,,INE866I08154
IIFLFIN,India Infoline Finance Limited,NA,1000,1000,1,12,08-OCT-2013,30-SEP-2013,,,,,,INE866I07594
IIFLFIN,India Infoline Finance Limited,NB,1000,1000,1,12,08-OCT-2013,30-SEP-2013,,,,,,INE866I07602
IIHFL,India Infoline Housing Finance Limited,N1,1000,1000,1,11.52,01-JAN-2014,27-DEC-2013,,,,,,INE477L07040
IIHFL,India Infoline Housing Finance Limited,N2,1000,1000,1,12,07-APR-2014,03-APR-2014,,,,,,INE477L08014
IIHFL,India Infoline Housing Finance Limited,N3,1000,1000,1,,07-APR-2014,03-APR-2014,,,,,,INE477L08022
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2016,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2017,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2018,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2019,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2020,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2021,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2022,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2023,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2024,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2016,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2017,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2018,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2019,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2020,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2021,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2022,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2023,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2024,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2025,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2026,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2027,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2028,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2029,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2016,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2017,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2018,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2019,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2020,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2021,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2022,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2023,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2024,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2025,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2026,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2027,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2028,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2029,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2030,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2031,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2032,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2033,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2034,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2016,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2017,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2018,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2019,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2020,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2021,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2022,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2023,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2024,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2016,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2017,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2018,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2019,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2020,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2021,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2022,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2023,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2024,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2025,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2026,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2027,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2028,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2029,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N6,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2016,INE202E07153
IREDA,Indian Renewable Energy Development Agency Limited,N6,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2017,INE202E07153
IREDA,Indian Renewable Energy Development Agency Limited,N6,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2018,INE202E07153
IREDA,Indian Renewable Energy Development Agency Limited,N6,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,,,,,13-MAR-2019,INE202E07153
